繪圖紅樓夢卷一 ||| Họa đồ Hồng Lâu Mộng, quyển thứ nhất.
三徑香風瓶王萬一庭明月照金蘭 ||| Ba đường gió thơm, bình ngọc ngàn hoa, trăng sáng sân ngọc, chiếu rọi tình giao.
買政拈_鬚沈吟意欲也題一聯忽_擡頭見寶玉在旁不敢_作聲因喝道怎_麽你應說話時又不說了還要等人請敎你不成寶玉聽了回道 ||| Vương Hy Phượng khẽ hỏi: “Sao anh nhà vẫn chưa về? Hay là có ai níu chân ở đâu rồi?”
_______此虎_並沒有什_麽蘭_縣明月洲渚之類若要這樣若迹說_來就題二百聯也不能宗就政道誰按者你的頭_敎你必定說這些字樣呢寶玉 ||| Bảo Ngọc đương ngắm nhìn bức tranh"Hải đường xuân thụy" và đôi câu đối:
Lờ mờ giấc mộng xuân hơi lạnh; Ngào ngạt mùi hương rượu khá nồng.
Lại nhớ ngay đến việc nằm ngủ ở đây, mơ đến"Thái hư ảo cảnh".
__道如此說則匾上_莫若蘅芷清芬四字對聯則是 ||| Nếu nói như vậy thì trên biển đề bốn chữ "Hằng Chỉ Thanh Phân" đối nhau mới phải.
____吟成豆蔻_詩猶酷睡足_茶前夢_亦香 ||| Ngâm xong bài thơ Đậu Khấu, giấc ngủ vẫn còn say, trước chén trà, giấc mộng vẫn còn thơm.
賈政笑_說這是套的書成蕉葉文猶綠不足爲奇衆_人道李太白鳳鳯_壹之作全套黄鶴摟只要套得妙如今細評起來方纔這一聯竟此 ||| Giả Chính cười nói, "Đây là lối văn chương sáo rỗng, ví như lá chuối xanh mướt, có gì lạ đâu. Mọi người đều khen Lý Thái Bạch là bậc kỳ tài, một tác phẩm như Hoàng Hạc Lâu, chỉ cần vận dụng khéo léo, nay xét kỹ lại, câu đối này cũng chỉ đến thế mà thôi."
書成蕉葉尤覺幽雅活動賈政笑道豈有此理說着大家出來_走不多遠_只見崇閣巍峨層樓髙起面面琳宫合抱迢迢_複道縈紆青松拂_____________ ||| Sách vẽ xong, xem hình dáng lá chuối, càng thấy vẻ u nhã, hoạt động. Giả Chính cười nói: "Thật là vô lý!" Nói rồi mọi người cùng nhau đi ra. Đi chưa được bao xa, chỉ thấy lầu các trùng điệp, nguy nga, những cung điện chạm trổ, nối liền nhau, hành lang quanh co, cây tùng xanh biếc.
簷玉蘭繞砌金輝獸面彩煥蚺頭賈政道這是正殿了只是太富麗了些衆人都道要如此方是雖然貴妃崇尙節儉然今日之尊禮儀如 ||| Mái hiên ngọc lan uốn quanh, bậc thềm rực rỡ ánh vàng, trên mặt thú chạm trổ hoa văn rực rỡ, Giả Chính nói: "Đây là chính điện rồi, chỉ là hơi quá lộng lẫy." Mọi người đều nói: "Phải như vậy mới xứng đáng, tuy rằng Quý phi sùng thượng tiết kiệm, nhưng hôm nay là lễ nghi tôn quý như vậy thì phải thế."
______________________此不爲過也一面說一面走只見正面現出一座玉石牌坊_上面龍蜢螭識玲瓏鑿就賈政道此處書以何文衆人道必是蓬萊仙境方妙 ||| Cảnh sắc nơi đây thật không ngoa chút nào, vừa đi vừa ngắm nhìn, chỉ thấy trước mặt hiện ra một tòa đá cẩm thạch chạm trổ tinh xảo, trên đó khắc hình rồng uốn lượn, trông rất sống động. Giả Chính hỏi: "Chỗ này nên đề chữ gì thì hợp?" Mọi người đều đáp: "Chắc chắn phải là 'Bồng Lai tiên cảnh' mới xứng!"
贸政搖頭不語寶玉見了信個所在心中忽有所動尋思起來倒_像在那__裏見過的一般卻一時想不起那年_那日的事了賈政又命他題 ||| Giả Chính lắc đầu không đáp. Bảo Ngọc thấy vậy, trong lòng chợt động, nghĩ ngợi một hồi, hình như đã từng thấy ở đâu đó, nhưng nhất thời không thể nhớ ra năm nào, ngày nào. Giả Chính lại sai Bảo Ngọc đề thơ.
_______________________________路行來或清堂或茅舍或堆石爲垣或編花爲_門或山下得幽尼佛寺或林中藏女道丹房或是廊曲洞或方厦圆亭賈政皆不及進去因 ||| Đường đi quanh co, khi thì qua nhà ngói tường vôi, khi thì lều tranh vách đất, hoặc tường đá chất chồng, hoặc cổng hoa đan kết. Lại có khi gặp am ni Phật tự dưới chân núi, hoặc đạo quán ẩn mình trong rừng sâu, hoặc hành lang uốn lượn, hoặc lầu vuông đình tròn. Giả Chính đều không kịp vào xem, vì còn bận việc.
兒國故花最繁盛亦荒唐不經之說耳衆人道畢竟此花不同女國之說想亦有之寶玉道大約騷人韻士以此花红若施脂弱如扶病近 ||| Nói về chuyện hoa cỏ ở chốn nhi nữ, thật là những lời hoang đường không đáng tin. Mọi người đều cho rằng loài hoa này khác với hoa ở nước nữ nhi, có lẽ cũng có lý. Bảo Ngọc lại nói, có lẽ các thi nhân tao khách thấy hoa này đỏ như son phấn, yếu ớt như người ốm, nên mới có những lời như vậy.
乎星閣風度故以女兒命名世人以訛傳訛都未免認眞了衆人都說領敎妙解一面說話一面都在廊下榻上坐可賈政因道想锁個时 ||| Nghe đâu gió tây hiu hắt, oanh còn thỏ thẻ bên tai, ngày ấm vui dồn, dế cũng rì rầm chuyện trò. Kìa phía đông nam, mấy tòa lầu nhấp nhô dựa núi, nọ nơi Tây bắc, ba gian hiên thấp thoáng kề sông.
麽新鲜字來題一客道蕉鶴二字_妙又一個道崇光泛彩方妙賈政_與衆人都道好個崇光泛彩寶玉也道妙又說只是可惜了衆人問如 ||| Sao lại có chữ gì mới lạ thế này, để ta đề hai chữ 'Đạo khách' và 'Tiêu hạc' xem sao. Hay lắm, lại thêm một chữ 'Sùng quang phiếm thải' nữa, thật là tuyệt diệu. Giả Chính và mọi người đều khen chữ 'Sùng quang phiếm thải' hay, Bảo Ngọc cũng khen hay, nhưng lại nói tiếc một điều, mọi người hỏi là tiếc điều gì?
何可惜寶玉道此處蕉棠兩植其意暗蓄紅綠二字在内若說一樣遗漏一樣便不足取賈政道依你如何寶玉道依我題紅香綠玉西字 ||| Bảo Ngọc tiếc rẻ nói: “Ở đây trồng hai cây chuối và cây hải đường, ý ngầm chứa hai chữ ‘hồng’ và ‘lục’ ở trong. Nếu chỉ nói một thứ thì sẽ thiếu sót, không đáng để nhắc đến.” Giả Chính hỏi: “Vậy theo ý con thì nên đặt tên thế nào?” Bảo Ngọc đáp: “Theo con thì nên đề là ‘Hồng Hương Lục Ngọc’ mới phải.”
方兩全其美賈政搖頭道不好不好說着引人進入房内只見_____其中收拾的_與別處不同竟分不出間隔來的原來四面皆是雕空玲瑞木 ||| Để vẹn cả đôi đường, Giả Chính lắc đầu nói không được, không được, rồi dẫn mọi người vào phòng. Chỉ thấy nơi đây bày biện khác hẳn những chỗ khác, không thể phân biệt được các gian phòng. Thì ra bốn phía đều là gỗ chạm trổ tinh xảo.
___________板或流_雲百蝠或歲寒三友或山水人物或翎毛花卉或集錦或博古或_萬福_萬壽各_種花樣皆是名手雕鏤五彩銷金嵌_玉的一福一隔 ||| Trên các vách ngăn hoặc chạm trổ hình mây bay, dơi lượn; hoặc tùng cúc trúc mai; hoặc núi non, nhân vật; hoặc chim muông hoa lá; hoặc gấm vóc; hoặc đồ cổ; hoặc chữ vạn phúc, vạn thọ; mỗi thứ một vẻ, đều do danh gia điêu khắc, sơn son thếp vàng, khảm ngọc tinh xảo.
__或_貯書_或_設鼎_或安置筆硯_或供_設瓶花或安放盆景_其_隔式_樣或_圓_或方或葵花蕉葉或連環半璧眞是花圍錦簇剔透玲瓏您爾五色 ||| Hoặc bày biện sách vở, hoặc sắp đặt đỉnh đồng, hoặc an trí bút nghiên, hoặc cắm bình hoa, hoặc bày biện chậu cảnh, các kiểu cách ngăn chia, hoặc tròn, hoặc vuông, hoặc hình hoa quỳ lá chuối, hoặc hình bán nguyệt liên hoàn, thật là muôn hoa đua nở, rực rỡ tinh xảo, muôn màu muôn vẻ.
____紗糊_竟係小窗倏爾彩_綾輕覆竟_如幽戶且滿牆__皆_是隨依古董玩器之形摳成的槽子如琴劍懸瓶之類俱懸於壁卻都是與壁相平的 ||| Mành sa che phủ, hóa ra là cửa sổ nhỏ, ánh sáng rực rỡ chiếu vào, lụa mỏng che hờ, tựa như chốn u tịch, cả bức tường đều là những khe hở được chạm trổ theo hình dáng đồ cổ, như đàn, kiếm, bình treo, tất cả đều được treo trên tường, nhưng lại phẳng phiu với mặt tường.
衆人都讃好精緻難爲怎___麻做的原來賈政_走_進來了未_到兩層便都迷了舊路左瞧也有門可通右瞧_也有窗_隔斷及到_跟前又被一架___ ||| Mọi người đều khen ngợi sự tinh xảo, khó mà tưởng tượng được làm bằng cách nào. Thì ra Giả Chính đã bước vào, chưa đến hai lớp đã lạc mất lối cũ, nhìn bên trái thấy có cửa thông, nhìn bên phải thấy có cửa sổ ngăn cách, đến gần thì lại bị một cái...
書擋住回頭__又有窗紗明透門徑__及至門前忽見迎面也進來了一_起人__與自己的形相一樣卻是一架大玻璃_鏡__轉過鏡去一發見門多 ||| Vừa lúc rẽ qua núi giả, thấy trước mắt một bức bình phong chắn lối, lại có cửa sổ bằng sa trong suốt, đến gần cửa thì thấy một người giống hệt mình đang tiến vào, hóa ra là một tấm gương lớn, quay lưng lại thì thấy cửa ra vào rất nhiều.
轉過花障_只見清溪前阻_衆人__詫異這_水又_從何而來賈珍遥指道原從那閘起流至那洞口從東北山凹裏引到那村莊裏又開一道岔 ||| Rẽ qua bức bình phong hoa, chỉ thấy trước mặt là dòng suối trong veo, mọi người đều ngạc nhiên hỏi dòng nước này từ đâu ra. Giả Trân chỉ tay nói, vốn từ cái cống kia chảy đến, rồi đến cửa hang, từ chỗ lõm của núi phía đông bắc dẫn đến thôn trang, lại mở thêm một đường rẽ.
繪圖紅樓夢卷一第十七回 ||| Bức họa Hồng Lâu Mộng, quyển một, hồi thứ mười bảy.
_______________________王方退了出來至院外就有跟賈政的__小廝上來__抱住_說道今_日虧__了老爺_喜歡方纔老大太打發人出來問了_幾遍__我們回說老釜喜歡________________ ||| Khi Vương Phương lui ra đến ngoài sân, có tiểu tư của Giả Chính chạy đến ôm lấy, nói rằng: "Hôm nay nhờ có lão gia vui thích, vừa rồi lão thái gia đã sai người ra hỏi mấy lần, chúng tôi đều đáp là lão gia rất hài lòng."
論沒見那一吊錢把這荷包賞了罷說着一個個都上來解荷包____解扇_袋不容分說將寶玉所佩之物盡行解去又道好生送上去罷一個 ||| Luận rằng chẳng thấy một đồng tiền nào mà đem cái túi thơm này thưởng cho, nói rồi từng người một đều xúm lại cởi túi thơm, cởi quạt, cởi túi đựng, không cho phân trần, đem hết những vật Bảo Ngọc đeo trên người cởi đi, lại nói phải cẩn thận đưa lên, một người
個國繞着送至賈母門前那時賈母正等着他見他來了知道不曾難爲他心中自是喜毄少時襲人倒了茶來見身邊佩物一件不存因 ||| Khi ấy, hai bà lão vội vã chạy đến trước mặt Phượng Thư, nói rằng: "Mợ ơi, mợ đi đâu mà không thấy, mợ chủ đang sốt ruột sai chúng tôi đi tìm mợ đấy ạ!"
_笑道帶的東西必又是那起沒臉的東西們解了去了黛玉_聽說走過來_一瞧果然一件_沒有因向寶玉道我給你的那個荷包也給他們_ ||| Phượng Thư nghe vậy, hừ một tiếng, nói: "Đồ súc sinh đáng chết, xem hắn đến đây làm trò gì!"
了你明_兒再想我的東西可不能_彀了說畢__生氣回房將前日寶玉__囑咐他_沒做完的__香袋________兒拿_起翦子來就鉸寳玉見他生氣便忙趕過 ||| Ngươi ngày mai hãy nghĩ đến đồ của ta, không được rồi. Nói xong, liền giận dữ trở về phòng, lấy chiếc túi thơm hôm trước Bảo Ngọc dặn làm còn dang dở ra, cầm kéo cắt nát. Bảo Ngọc thấy vậy, vội vàng chạy đến.
來早已翦破了寶玉曾見過道香袋雖未完工卻也十分精巧無故翦了卻也可氣因忙把衣領解了從裏面衣襟上將所繫荷包解下來 ||| Nàng đã sớm cắt nát cái túi thơm mà Bảo Ngọc từng thấy, tuy chưa hoàn thành nhưng cũng rất tinh xảo. Không có lý do gì mà lại cắt nó đi, thật đáng giận. Vì bận rộn, nàng liền cởi cổ áo, từ trong vạt áo lấy cái túi thơm đã buộc ra.
了遞與黛玉道你瞧瞧這是什麽東西我阿從把你的東西給人來着黛玉見他如此珍重帶在裏面可知是怕人拿去之意因此自悔莽 ||| Nàng trao cho Đại Ngọc và nói: “Nàng xem đây là vật gì? Ta sợ người khác lấy mất nên cất giữ cẩn thận, nàng xem có phải là đồ của nàng không?” Đại Ngọc thấy nàng cẩn trọng như vậy, biết là sợ người khác lấy mất, nên tự trách mình đã quá đường đột.
撞翦了香袋低着頭一言不發寶玉道你也不用_鉸我知_你是懶_怠給我東西我連這荷包奉還何如說着擲向他懷中而去黛玉越發氣 ||| Nàng giận dỗi, giật mạnh chiếc túi thơm, cúi gằm mặt không nói lời nào. Bảo Ngọc vội nói: "Nàng đừng giận, ta biết nàng lười biếng không muốn làm đồ cho ta, vậy ta xin trả lại chiếc túi này, được chứ?" Nói rồi, chàng ném chiếc túi vào lòng nàng rồi bỏ đi. Thấy vậy, nàng càng thêm tức giận.
的平了拿起荷包又鉸寶玉____忙回身搶住笑道好妹妹饒了他罷食玉將翦子一摔拭淚說道你不用_合我好一陣歹一陣的要惱就攥開_ ||| Bình Nhi vừa dứt lời, Phượng Thư liền giơ tay lấy chiếc túi gấm, rồi lại vứt mạnh chiếc kéo xuống đất, vừa lau nước mắt vừa nói: "Ngươi đừng có lúc thế này lúc thế khác, muốn giận thì cứ giận đi!"
_____手說着睹_氣上_壯面向_裏倒下拭淚禁不住寶玉上來妹妹長妹妹短賠不是前面賈母一片聲找寶玉衆人间道在林姑娘房裏賈母聽 ||| Nàng vừa dứt lời, bỗng thấy Bảo Ngọc vùng dậy, ruột gan đau đớn, không ngờ lại nôn ra một búng máu. Tập Nhân vội vàng đỡ lấy, hỏi han sự tình, định đi báo với Giả mẫu, mời thầy thuốc đến. Bảo Ngọc ngăn lại, nói rằng do tâm hỏa bốc lên, huyết không đi theo đường mà thôi.
說道好好讓他姊妹們一處頑頑兒罷_維他老子拘了他這半天讓他__鬆泛一會子罷只別叫他們拌嘴衆人答應着黛玉被寶玉纏不過 ||| Nói rằng hãy để cho các em nó cùng nhau vui chơi một chút, cha nó đã giữ nó nửa ngày rồi, hãy để nó được thư giãn một lát, chỉ đừng để chúng cãi nhau. Mọi người đều đồng ý, còn Bảo Ngọc thì bị Dai Ngọc quấn lấy không thôi.
________只得起來道你的意思不叫我安生我就_離了你說着往外就走寶玉笑道你到那_裏我跟到那_裏一面仍拿_着荷包來帶上黛玉伸手搶___________________ ||| Bảo Ngọc bứt rứt khó chịu, nhưng vì tình cha con, nên không tiện ngăn giữ.
道你說不要這會子又帶上我也替你怪臊的說着嗤的一聲_笑了寶玉道好妹妹明_兒另替我_做個香袋_兒罷黛玉道那也_瞧我的髙興__ ||| Ngươi nói đừng, sao giờ lại lôi ta vào, thật là xấu hổ thay cho ngươi. Nói rồi, nàng cười khẽ một tiếng. Bảo Ngọc nói: "Em gái ngoan, ngày mai hãy làm cho ta một cái túi thơm khác nhé."  Đại Ngọc đáp: "Cũng còn phải xem ta có cao hứng hay không đã."
罷了一面說一面二人出房到王夫人上房中去了可巧寶釵_也在那_裏此時王夫人那邊熱鬧非常原來賈警已從姑蘇採買了十二個 ||| Thôi vậy, vừa nói dứt lời, hai người liền ra khỏi phòng, đến chỗ Vương phu nhân. Thật khéo, Bảo Thoa cũng đang ở đó. Lúc này, chỗ Vương phu nhân vô cùng náo nhiệt, thì ra Giả Xá đã từ Tô Châu mua về mười hai người.
女孩子並聘了敎習以及行頭等事來了那時薛姨媽另__於東北上一所幽静房舍居住將梨香院______另行修理了就令敎習在此敎演女戲 ||| Lại nói, khi các cô nương đã đến tuổi cập kê, việc tìm thầy dạy dỗ và sắm sửa trang phục, đồ dùng cũng được tiến hành. Lúc này, Tiết di nương đã dọn đến một khu nhà yên tĩnh ở phía đông bắc để ở, còn khu nhà Lệ Hương Viên thì được tu sửa lại, rồi mời thầy đến dạy các cô nương diễn trò.
去的王夫人_道他旣是_宦家小姐自然_要性傲些就下個請帖_請他何妨林之孝家的答應_者出去_叫書啓相公寫個請帖去請妙玉次日 ||| Vương phu nhân nghe vậy, bèn nói, "Con bé đó vốn là tiểu thư con nhà quan, tính tình có phần kiêu ngạo cũng là lẽ thường. Chi bằng ta hạ thiếp mời, có sao đâu." Lâm Chi Hiếu nghe vậy, liền đi ra, sai người viết thiếp mời Diệu Ngọc đến.
__遣人備車_驕去接____不知後來如何且____看下___回分解 ||| Sai người chuẩn bị xe, rồi đi đón người, không biết sau này sẽ ra sao, hãy xem hồi sau phân giải.
第十八囘皇恩重兀妃省父母天倫樂寶玉呈才藻 ||| Ân đức Hoàng thượng ban dày, Nguyên phi về thăm cha mẹ, gia đình sum vầy vui vẻ, Bảo Ngọc dâng tài văn chương.
___話說彼時有人回工程上等着糊京西的紗綾請鳳姐去開____庫又有人來回請鳳姐__收金銀器材王夫人並上房了媛等皆不得空兒寶釵 ||| Lại nói, lúc ấy có người về báo công việc đang chờ dán sa la ở kinh tây, xin Phượng Thư đến mở kho. Lại có người đến báo xin Phượng Thư thu nhận đồ vàng bạc, Vương phu nhân cùng các bà trên phòng đều không rảnh, một mình Bảo Thoa
因說道谐們別在這裏礙手礙脚說着同寶玉等便往迎春房中來王夫人日日忙亂直到十月裏維全備了監辦的都交清賬目各處古 ||| Bởi vậy, mọi người bảo nhau đừng có đứng đây vướng víu chân tay, rồi cùng Bảo Ngọc đi đến phòng Nghênh Xuân. Vương phu nhân ngày ngày bận rộn, mãi đến tháng mười mới lo liệu xong xuôi mọi việc, giao hết sổ sách cho người giám sát.
_______________________________营文玩_俱已陳設齊備採辦鳥雀_自仙鹤____鹿兔_以及鷄鹅等__亦已買全交_於園中各處__飼養賈薔那邊也演出二三十_齣雜戲來一班小尼_____________ ||| Trong phủ bày biện đủ thứ đồ chơi, chim muông, từ hạc, nai, thỏ đến gà, ngỗng đều đã mua đủ cả, giao cho các nơi trong vườn nuôi dưỡng. Bên Giả Tường cũng diễn hai ba chục vở tạp kịch, lại có một đám tiểu ni.
姑道姑也都學會念佛誦經於是賈政_略覺心____中安頓遂請賈母__到園中色色斟酌點綴妥當再無_些__微不_合之處_賈政線敢題心本上之 ||| Các bà cô cũng đều học theo niệm Phật tụng kinh, vì vậy Giả Chính cũng thấy trong lòng được an ổn phần nào, bèn mời Giả mẫu đến vườn để cùng nhau xem xét, bày biện trang trí cho thỏa đáng, không còn chút gì không hợp ý. Giả Chính lúc này mới dám đề bút viết lên tâm bản.
日奉旨於明年正月十五日上元之日貴妃省親賈府_奉了此_旨_一發_日夜不閒連年也不_能好生過_了轉眼元宵在金自正月初八就有 ||| Ngày nọ, có chiếu chỉ ban xuống, lệnh cho phủ Giả phải chuẩn bị nghênh đón Quý phi về thăm nhà vào ngày rằm tháng giêng năm tới. Nhận được thánh chỉ, cả phủ không ai dám lơ là, ngày đêm lo toan, đến cả Tết cũng không được yên ổn. Chớp mắt, đã đến rằm tháng giêng, từ mồng tám tháng giêng, mọi sự đã rộn ràng.
______________太監出來先看方向何處更衣何處燕坐何處受德何處開宴何處退息又有巡察地方總理關防太監帶了許多小太康來各虎關防棺 ||| Thái giám bước ra, trước hết xem xét phương hướng, nơi nào thay y phục, nơi nào nghỉ ngơi, nơi nào tiếp nhận ân đức, nơi nào mở tiệc, nơi nào lui về nghỉ ngơi. Lại có thái giám tuần tra các nơi, tổng quản việc phòng bị, dẫn theo nhiều tiểu thái giám đến canh giữ cẩn mật.
因幙指示賈宅人員何處出入何處進膳何處啓事種種儀注外面又有工部官員_並五城兵__馬司打掃街道攆逐閒人賈赦等監督匠人 ||| Lại sai mời quan giữ ty âm dương ở tòa Khâm Thiên Giám đến chọn ngày, rồi đặt linh cữu trong nhà bốn mươi chín ngày, ba ngày sau thì phát tang và gửi cáo phó. Bên ngoài, lại có quan bộ Công và binh mã năm thành đến dọn dẹp đường phố, đuổi người nhàn tản, còn Giả Xá thì đốc thúc thợ thuyền.
_______扎花燈煙火之類至十四日俱已停妥這一夜上下通不會睡至十五日五鼓自賈母等有爵者_俱各按品_大妝大觀国内帳舞蟠龍簾飛 ||| Đến ngày mười bốn, các thứ như hoa đăng, pháo hoa đều đã chuẩn bị xong xuôi. Đêm đó, cả trên dưới không ai ngủ, đến canh năm ngày rằm, từ Giả mẫu trở xuống, các bậc có tước vị đều trang điểm lộng lẫy, trong nhà treo rèm thêu rồng bay phượng múa.
幙擋嚴正等的不_奈煩忽見一個太監__騎若匹馬_來了賈__政接_着問其消息太監道早多着哩未初用晚膳未正還到寶靈宮拜佛酉初進 ||| Màn che đã buông, mọi người đang sốt ruột chờ đợi thì bỗng thấy một thái giám cưỡi ngựa chạy tới. Giả Chính vội vàng ra đón hỏi thăm tin tức. Thái giám đáp rằng: "Còn sớm lắm, chưa đến giờ dùng bữa tối, giờ Mùi mới đến Bảo Linh Cung bái Phật, giờ Dậu mới vào."
______來對方聞_隙隱_鼓樂之聲一對對鳳翌龍旌_雉羽__富扇又有銷金提爐焚着御香然_後一把曲柄七鳳_金黃傘過來便是冠袍帶履又有執 ||| Khiến đối phương nghe thấy tiếng trống nhạc ẩn hiện, một đôi phượng dực long tinh, cờ trĩ vũ, quạt phú quý, lại có lò đốt trầm hương ngự chế, sau đó một chiếc lọng vàng cán cong bảy phượng che tới, tiếp theo là mũ áo cân đai, lại có người cầm
八六 ||| Chữ này không có trong bản dịch được cung cấp.
___事太監捧着香_巾繡帕漱孟拂塵等_物一隊隊過完_後面方是八個太監__擡者一頂金頂_鹅黄繡鳳_樂輿緩缓行來賈母等連忙跪下早有 ||| Lại thấy các thái giám nâng hương, khăn, gấm, lụa, đồ rửa mặt, phất trần... nối nhau đi qua, sau cùng là tám thái giám khiêng kiệu vàng, trên có thêu hình phượng hoàng màu vàng nhạt, từ từ tiến đến. Giả mẫu vội vàng quỳ xuống.
太監過來扶起賈日等來將那_教與____擡入_大門往東__一所院落門前有__太監跪請下輿更衣於是入門太監散去只有昭容彩嬪等引着元 ||| Thái giám tiến đến đỡ Giả Dung cùng những người khác, rồi cùng nhau khiêng kiệu vào đại môn, hướng về phía đông đến một viện. Trước cửa viện, thái giám quỳ xuống mời xuống kiệu thay y phục, rồi mới vào trong. Các thái giám khác tản đi, chỉ còn Chiêu Dung, Thải Tần cùng những người khác dẫn Nguyên phi.
春下與只見_苑内各色花燈_熌灼皆係紗綾扎成精_紲非常上面有一_燈匾寫着_體仁沐德四個字元春入室更衣復出上輿進園只見園 ||| Khi xuân về, chỉ thấy trong vườn các loại đèn hoa rực rỡ, đều được làm bằng lụa mỏng, vô cùng tinh xảo. Trên đó có một tấm biển đèn đề bốn chữ 'Thể Nhân Mộc Đức'. Nguyên phi vào phòng thay y phục rồi lên kiệu tiến vào vườn, chỉ thấy...
___中香煙缭繞花影繽紛處處炲光相映時時細樂聲喧說不盡造太平_景象富貴風流卻說賈妃在轎内看了此園内外光景因點頭教道 ||| Khói hương lượn lờ, bóng hoa rực rỡ, khắp nơi ánh đèn lung linh chiếu rọi, tiếng nhạc du dương vang vọng, cảnh tượng thái bình thịnh vượng thật khó tả. Lại nói, Giả phi ngồi trong kiệu ngắm nhìn cảnh sắc trong ngoài khu vườn, gật đầu khen ngợi.
大奢華過費了忽又見__太監跪請登舟賈妃_下輿登舟只見淸流一帶勢若游龍兩邊石欄上皆係水晶玻瑶各色風燈點的如銀光雪浪 ||| Cảnh tượng thật là xa hoa lộng lẫy, vừa thấy các thái giám quỳ xuống mời Giả phi lên thuyền. Giả phi xuống kiệu, bước lên thuyền, chỉ thấy một dải nước trong xanh uốn lượn như rồng bay, hai bên bờ đá đều được trang trí bằng lan can thủy tinh, đèn lồng đủ màu sắc chiếu sáng rực rỡ như những đợt sóng bạc.
________________________________上面柳杏諸樹雖無花葉__卻用__各色綢綾紙絹______及通草爲花黏於枝上_每一株患燈_萬證更兼池中荷荇鳧鷺__諸燈亦皆_保螺蚌羽毛___做就_ ||| Trên những cây liễu, cây hạnh kia tuy không có hoa lá, nhưng người ta đã dùng lụa là, giấy màu và các loại cỏ để làm hoa gắn lên cành. Mỗi cây đều treo đèn lồng, lại thêm trong ao sen, vịt, ngỗng, các loại đèn cũng đều được làm từ vỏ ốc, lông chim, vỏ trai.
__的上下爭輝水天煥采眞__是琉璃世界珠寶乾坤船上__又有各種__盆景__珠_簾純幙桂楫蘭橈自不必說了已而入一石港港上一面匾燈明 ||| Cảnh sắc trên thuyền thật là rực rỡ, ánh nước và bầu trời hòa quyện vào nhau, sáng ngời như thế giới lưu ly, châu báu. Trên thuyền bày biện đủ loại cây cảnh, rèm châu, màn gấm, mái chèo quế, tay lái lan, không cần phải nói thêm. Thuyền đã vào một bến đá, trên bến treo một ngọn đèn lồng sáng rực.
__現着蓼汀花溆四字_看官聽說追蓼订花溆四字及有鳳來儀等_宇皆係上回賈政偶__試寶玉之__才__何__至便認眞用___了想賈府世代詩書白 ||| Nay xét đến bốn chữ "Hiện trứ Liệu Đình Hoa Nhứ", người xem hẳn đã nghe qua, rằng bốn chữ "Liệu Đình Hoa Nhứ" cùng với "Phượng Lai Nghi" đều là do Giả Chính ngẫu hứng thử tài Bảo Ngọc mà ra, nào ngờ lại thành ra dụng công thật sự. Ngẫm xem, Giả phủ vốn là thế gia thi thư, há lại...
弟所爲亦不角其平日切望之意因此故將寶玉所題用了那日夫題完之處後來又補題了許多且說賈妃看了四字笑道花溆二字便 ||| Em trai làm vậy cũng không phải là không hiểu ý nguyện tha thiết bấy lâu nay của mọi người, cho nên mới dùng những chữ mà Bảo Ngọc đã đề, lại thêm vào những chỗ còn thiếu sót, sau đó lại đề thêm rất nhiều. Lại nói, Giả phi xem bốn chữ kia, cười nói: "Hai chữ Hoa Nhứ này..."
好何必蓼汀侍坐太監_聽了配下_舟登岸飛傳_與賈政賈政即刻換了彼時舟臨內岸去舟上南便見琳宮綽約桂殿巍峨石牌坊上寓着 ||| Sao cần gì phải đợi ở bến sông, khi thái giám đã nghe lệnh, thuyền cập bến, tin tức truyền đi như gió thoảng. Giả Chính vội vã đổi thuyền, từ thuyền kia sang thuyền này, vừa đến bờ phía nam, đã thấy lầu son gác tía, điện ngọc nguy nga, trước mặt là tấm biển đá uy nghiêm.
___________鼎飄麝腦之香屏列雉尾之扇眞是 ||| Thật là hương xạ não ngào ngạt, quạt lông trĩ xếp hàng, cảnh tượng thật lộng lẫy.
__金門王戶神仙府桂殿蘭宫妃子家 ||| Nơi đây, cửa vàng ngọc, nhà thần tiên, điện quế lan cung, chốn phi tần mỹ nữ.
_入倒_室更衣方備省親車駕出園至賈母正室欲行家禮賈母等俱跪止__之賈妃垂淚彼此上前廝見一手挽賈母一手挽王夫人三人滿 ||| Khi vào đến phòng, thay y phục xong xuôi, xe kiệu đã sẵn sàng để đón tiếp. Giả phi ra khỏi vườn, đến chính thất của Giả mẫu, định làm lễ gia đình, Giả mẫu vội ngăn lại, Giả phi rưng rưng nước mắt, tiến lên chào hỏi, một tay vịn Giả mẫu, một tay vịn Vương phu nhân, ba người nghẹn ngào.
心皆有許多話俱說不出只是嗚咽對泣而已邢夫人李___厨迎探惜___等俱在旁__垂淚無言半日賈妃方忍悲強笑安慰道當日旣送我到那 ||| Mọi người trong nhà đều hay tin, ai nấy đều buồn rầu, vẫn chưa tin là sự thật. Khắp cả họ, người lớn thì thương tiếc nàng nết na, kẻ dưới thì tiếc nàng hiền hậu. Ngay cả những người làm công, từ già đến trẻ, ai cũng nhớ đến nàng ngày thường thương người nghèo khó, kính người lớn tuổi, yêu mến trẻ con, nên ai nấy đều khóc lóc đau xót.
